feature,mean_abs_shap
SPLICE_SITE_USAGE_metanephros_usage_UBERON_0000081_total_RNA_seq,0.07845196110080835
CHIP_HISTONE_substantia_nigra_UBERON_0002038_Histone_ChIP_seq_H3K4me3,0.07693928077641146
SPLICE_JUNCTIONS_HeLa_S3_junction_EFO_0002791_polyA_plus_RNA_seq,0.07663423925453652
SPLICE_JUNCTIONS_ascending_aorta_junction_UBERON_0001496_total_RNA_seq,0.07571625287133277
DNASE_A549_EFO_0001086_DNase_seq,0.0754981931149168
vep_SIFT_score,0.07536750646459472
CAGE_neuron_hCAGE_CL_0000540,0.07524752000089688
CHIP_HISTONE_brain_UBERON_0000955_Histone_ChIP_seq_H3K27me3,0.07492475847882063
ATAC_central_memory_CD8_positive_alpha_beta_T_cell_CL_0000907_ATAC_seq,0.07428973283748193
CONTACT_MAPS_H1_hESC_4dn_4DNFI6HDY7WZ,0.07373104776389228
CONTACT_MAPS_skin_fibroblast_4dn_4DNFIMDOXUT8,0.07265166235444526
SPLICE_JUNCTIONS_motor_neuron_junction_CL_0000100_total_RNA_seq,0.07155264716233754
SPLICE_SITES_nan_donor,0.07144068985479624
DNASE_SW480_EFO_0002083_DNase_seq,0.07141954969628089
CAGE_seminal_vesicle_hCAGE_UBERON_0000998,0.07022650023534155
CHIP_HISTONE_fibroblast_of_lung_CL_0002553_Histone_ChIP_seq_H3K79me2,0.06696528495176686
PROCAP_endothelial_cell_of_umbilical_vein_ENCSR801ECP,0.06493362363221848
CHIP_HISTONE_muscle_of_trunk_UBERON_0001774_Histone_ChIP_seq_H3K9me3,0.06489700257304602
CHIP_HISTONE_MM1S_EFO_0005724_Histone_ChIP_seq_H3K27me3,0.06301006340056584
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_RBFOX2,0.06290519933993562
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_TAF1,0.062480237564774346
SPLICE_JUNCTIONS_kidney_junction_UBERON_0002113_polyA_plus_RNA_seq,0.06228039256086206
CHIP_TF_HeLa_S3_EFO_0002791_TF_ChIP_seq_E2F1,0.059715222307872975
CAGE_neutrophil_LQhCAGE_CL_0000775,0.0586072914183879
DNASE_COLO829_EFO_0002140_DNase_seq,0.05669732980622354
CHIP_HISTONE_neural_progenitor_cell_CL_0011020_Histone_ChIP_seq_H4K20me1,0.055590157596232016
CHIP_HISTONE_peripheral_blood_mononuclear_cell_CL_2000001_Histone_ChIP_seq_H3K4me3,0.05434666988865365
CHIP_HISTONE_hepatocyte_CL_0000182_Histone_ChIP_seq_H3K79me2,0.0525650172646584
CONTACT_MAPS_H9_4dn_4DNFIT5YVTLO,0.05255451183677421
CHIP_HISTONE_effector_memory_CD4_positive_alpha_beta_T_cell_CL_0000905_Histone_ChIP_seq_H3K27ac,0.052157142187904584
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_SYNCRIP,0.0517637979462345
CHIP_HISTONE_HEK293_EFO_0001182_Histone_ChIP_seq_H3K36me3,0.05162844178128848
CAGE_umbilical_cord_blood_LQhCAGE_UBERON_0012168,0.05075960332904605
SPLICE_JUNCTIONS_frontal_cortex_junction_UBERON_0001870_total_RNA_seq,0.05068523376397686
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_total_RNA_seq,0.049445749338406
CHIP_HISTONE_Panc1_EFO_0002713_Histone_ChIP_seq_H3K36me3,0.04861109508020982
CHIP_TF_HEK293_EFO_0001182_TF_ChIP_seq_ZSCAN4_genetically_modified_insertion_using_site_specific_recombination_targeting_H_sapiens_ZSCAN4,0.04859956643407492
CHIP_TF_A549_EFO_0001086_TF_ChIP_seq_NR3C1,0.04699564743594656
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_NR2F1_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_NR2F1,0.046372876510276044
CHIP_HISTONE_stomach_UBERON_0000945_Histone_ChIP_seq_H3K27me3,0.045329168827067945
CHIP_HISTONE_HepG2_EFO_0001187_Histone_ChIP_seq_H3K27ac,0.044684708871492944
CONTACT_MAPS_CyT49_4dn_4DNFI2VYSX9M,0.04397153209410792
CHIP_TF_SK_N_SH_EFO_0003072_TF_ChIP_seq_ZBTB33,0.04361412800014701
CHIP_HISTONE_VCaP_EFO_0007752_Histone_ChIP_seq_H3K27ac,0.04352531877080468
CHIP_HISTONE_neuronal_stem_cell_CL_0000047_Histone_ChIP_seq_H3K9me3,0.042495731345192564
CHIP_TF_HEK293_EFO_0001182_TF_ChIP_seq_HOXB7_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_HOXB7,0.04223614645768884
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_polyA_plus_RNA_seq,0.04059644524424522
CHIP_HISTONE_amnion_UBERON_0000305_Histone_ChIP_seq_H3K36me3,0.0391858643700776
SPLICE_SITE_USAGE_type_B_pancreatic_cell_usage_CL_0000169_total_RNA_seq,0.03862867430041814
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_NR2C2,0.03846933354191028
CHIP_HISTONE_neural_cell_CL_0002319_Histone_ChIP_seq_H3K79me2,0.038068979289961204
SPLICE_JUNCTIONS_diencephalon_junction_UBERON_0001894_total_RNA_seq,0.037572788592812524
CHIP_HISTONE_skin_epidermis_UBERON_0001003_Histone_ChIP_seq_H3K27ac,0.03700941303607689
CHIP_HISTONE_esophagus_squamous_epithelium_UBERON_0006920_Histone_ChIP_seq_H3K27me3,0.03696756967935752
SPLICE_JUNCTIONS_Purkinje_cell_junction_CL_0000121_polyA_plus_RNA_seq,0.036785482359687476
CHIP_HISTONE_PC_9_EFO_0002847_Histone_ChIP_seq_H3F3A,0.036715777831220923
CHIP_TF_K562_EFO_0002067_TF_ChIP_seq_ATF1_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_ATF1,0.03376300685556036
CONTACT_MAPS_CyT49_4dn_4DNFIK3NF6R2,0.03376286386108759
SPLICE_JUNCTIONS_occipital_lobe_junction_UBERON_0002021_total_RNA_seq,0.03359917797797528
CHIP_HISTONE_iPS_18a_EFO_0007105_Histone_ChIP_seq_H3K9me3,0.03210202373609851
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_total_RNA_seq,0.031609543263141235
CHIP_TF_A549_EFO_0001086_TF_ChIP_seq_REST,0.03047049577614556
vep_Consequence_downstream_gene_variant,0.03019822104392848
CHIP_HISTONE_muscle_of_leg_UBERON_0001383_Histone_ChIP_seq_H3K9me3,0.03013748291635679
CHIP_HISTONE_HUES48_EFO_0007083_Histone_ChIP_seq_H3K9me3,0.028494623063053524
PROCAP_Calu3_ENCSR797DEF,0.028456067356474973
CHIP_HISTONE_H9_EFO_0003045_Histone_ChIP_seq_H3K9me3,0.028084394273003348
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_polyA_plus_RNA_seq,0.026809819358505644
CHIP_TF_SK_N_SH_EFO_0003072_TF_ChIP_seq_FOXJ3_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_FOXJ3,0.02398385334205387
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_total_RNA_seq,0.023952703817981015
CONTACT_MAPS_H1_hESC_4dn_4DNFINFQV712,0.023323417972411102
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_gtex_Testis_polyA_plus_RNA_seq,0.02030431775845191
CHIP_HISTONE_prostate_gland_UBERON_0002367_Histone_ChIP_seq_H3K4me3,0.019240344700936076
