feature,importance
CONTACT_MAPS_H1_hESC_4dn_4DNFINFQV712,149
SPLICE_SITE_USAGE_muscle_of_arm_usage_UBERON_0001499_polyA_plus_RNA_seq,143
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_polyA_plus_RNA_seq,141
SPLICE_JUNCTIONS_dorsolateral_prefrontal_cortex_junction_UBERON_0009834_total_RNA_seq,139
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_gtex_Testis_polyA_plus_RNA_seq,135
SPLICE_SITE_USAGE_type_B_pancreatic_cell_usage_CL_0000169_total_RNA_seq,132
SPLICE_SITE_USAGE_metanephros_usage_UBERON_0000081_total_RNA_seq,131
SPLICE_JUNCTIONS_frontal_cortex_junction_UBERON_0001870_total_RNA_seq,130
vep_LoF,113
vep_Consequence_intron_variant,109
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_polyA_plus_RNA_seq,107
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_total_RNA_seq,104
SPLICE_JUNCTIONS_diencephalon_junction_UBERON_0001894_total_RNA_seq,102
SPLICE_JUNCTIONS_occipital_lobe_junction_UBERON_0002021_total_RNA_seq,95
SPLICE_SITE_USAGE_parietal_lobe_usage_UBERON_0001872_total_RNA_seq,93
SPLICE_SITE_USAGE_urinary_bladder_usage_UBERON_0001255_total_RNA_seq,87
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_total_RNA_seq,81
vep_is_synonymous,46
vep_Consequence_synonymous_variant,38
vep_Consequence_downstream_gene_variant,28
