threshold,net_benefit,treat_all,treat_none,prevalence,n,n_pos,benchmark,model,n_scored
0.8,-0.5797101449275365,-1.4120082815734993,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.81,-0.6357197341179037,-1.5389560858668414,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.8200000000000001,-0.6809293765815507,-1.6800092017483328,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.8300000000000001,-0.7426622823042265,-1.837656801851176,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.8400000000000001,-0.8198757763975163,-2.0150103519668754,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.85,-0.9206349206349205,-2.2160110420979984,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.86,-0.984324164448388,-2.4457261165335695,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.87,-1.0995381430164037,-2.7107819716515364,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.88,-1.200138026224983,-3.0200138026224983,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.89,-1.287784679089027,-3.3854696028609075,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.9,-1.4037267080745344,-3.8240165631469987,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.91,-1.5279503105590069,-4.360018403496666,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.92,-1.7536231884057982,-5.030020703933751,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.93,-1.9580005915409662,-5.891452233067144,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.9400000000000001,-2.2518978605935156,-7.040027605245004,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.9500000000000001,-2.4927536231884098,-8.64803312629401,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.9600000000000001,-3.0351966873706067,-11.060041407867518,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.97,-3.7391304347826053,-15.08005521048998,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.98,-4.913043478260865,-23.120082815734968,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.99,-7.594202898550718,-47.240165631469935,0.0,0.5175983436853002,483.0,250.0,mave_independent,AlphaMissense,483
0.01,0.5118738494119095,0.5118650621042966,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.02,0.5069639861164127,0.5068840933502587,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.03,0.501607601691457,0.5018004242095399,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.04,0.4953603015803973,0.49661084529505584,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.05,0.48739726654609555,0.49131201208763536,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.060000000000000005,0.47968126752612145,0.4859004377481421,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.06999999999999999,0.4716496653523972,0.4803724854658641,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.08,0.4628288291695823,0.47472436030788434,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.09,0.45389538690974096,0.4689521005310479,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.09999999999999999,0.44405780290947755,0.46305156831472627,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.11,0.4362179941449873,0.4570184398688243,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.12,0.4279726363240935,0.45084819486733363,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.13,0.42091764035337703,0.44453610515316505,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.14,0.41254539385172523,0.4380772226549461,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.15000000000000002,0.4059053808561267,0.4314663664508866,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.16,0.3981855465109053,0.42469810890863524,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.17,0.39193572899689233,0.4177667608231971,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.18000000000000002,0.38187334896402464,0.41066635546738245,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.19,0.3731842615415183,0.40339063146080695,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.2,0.3628751631143976,0.395933014354067,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.21000000000000002,0.35687503097108814,0.38828659681424504,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.22,0.3477097065613812,0.38044411728622257,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.23,0.34235099393864077,0.37239793699123847,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.24000000000000002,0.3389116549529544,0.3641400151095442,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.25,0.3313034652747571,0.35566188197767146,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.26,0.32641689101019244,0.34695461011250484,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.27,0.32139643799865336,0.338008782853772,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.28,0.3147262094630516,0.3288144603934078,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.29000000000000004,0.3084500915891171,0.31936114293415996,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
