N,N_positive,N_negative,AUC,AUPRC,FPR,Accuracy,Precision,Recall,F1,MCC,Specificity,AUC_CI_low,AUC_CI_high,AUPRC_CI_low,AUPRC_CI_high,benchmark,variant_type
81,10,71,0.721830985915493,0.2652067354179408,0.4225352112676056,0.5925925925925926,0.1891891891891892,0.7,0.2978723404255319,0.1832355987018425,0.5774647887323944,0.5281514084507042,0.8718485915492958,0.1631759196657652,0.47700090650090643,grimm2015,splice
578,87,491,0.7178757871573378,0.23852241855194545,0.4093686354378819,0.6124567474048442,0.24150943396226415,0.735632183908046,0.36363636363636365,0.23413903383788914,0.5906313645621182,0.6731713954631646,0.7597668960835264,0.20965562223298026,0.2935589097821773,grimm2015,other
128,4,124,0.7429435483870968,0.1125,0.12903225806451613,0.859375,0.1111111111111111,0.5,0.18181818181818182,0.18567113388365175,0.8709677419354839,0.4676915322580644,0.9486139112903226,0.04426897321428571,0.3418749999999999,grimm2015,intron
39,1,38,0.14473684210526316,0.02857142857142857,0.10526315789473684,0.8717948717948718,0.0,0.0,0.0,-0.05484084971070817,0.8947368421052632,0.05263157894736842,0.25,0.02631578947368421,0.03225806451612903,grimm2015,synonymous
24,0,24,,,0.08333333333333333,0.9166666666666666,,,,,,,,,,grimm2015,non_coding_exon
23,1,22,0.7272727272727273,0.14285714285714285,0.2727272727272727,0.6956521739130435,0.0,0.0,0.0,-0.12666009927622474,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.09090909090909091,0.3333333333333333,grimm2015,UTR
307,0,307,,,0.36156351791530944,0.6384364820846905,,,,,,,,,,dvd,UTR
725,59,666,0.9394436809691048,0.7010231120041585,0.44294294294294295,0.5917241379310345,0.1643059490084986,0.9830508474576272,0.2815533980582524,0.2954505692144647,0.5570570570570571,0.9059735583040668,0.9673362981625693,0.5907444253665959,0.8127948952165428,dvd,missense
267,0,267,,,0.18726591760299627,0.8127340823970037,,,,,,,,,,dvd,synonymous
67,22,45,0.9297979797979796,0.9398674242424242,0.7555555555555555,0.47761194029850745,0.38181818181818183,0.9545454545454546,0.5454545454545454,0.24371185824660913,0.24444444444444444,0.8287878787878789,1.0,0.8575396329749079,1.0,dvd,splice
